"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Chiapas","Superior",7610,211,"2010-2011"
"Chihuahua","Preescolar",5654,2390,"2010-2011"
"Chihuahua","Primaria",16971,2856,"2010-2011"
"Chihuahua","Secundaria",9651,765,"2010-2011"
"Chihuahua","Media superior",7402,506,"2010-2011"
"Chihuahua","Superior",9807,158,"2010-2011"
"Ciudad de México","Preescolar",13745,3795,"2010-2011"
"Ciudad de México","Primaria",33469,3283,"2010-2011"
"Ciudad de México","Secundaria",34203,1400,"2010-2011"
"Ciudad de México","Media superior",34572,683,"2010-2011"
"Ciudad de México","Superior",63379,655,"2010-2011"
"Durango","Preescolar",3452,1850,"2010-2011"
"Durango","Primaria",10232,2615,"2010-2011"
"Durango","Secundaria",6892,921,"2010-2011"
"Durango","Media superior",4239,218,"2010-2011"
"Durango","Superior",4614,102,"2010-2011"
"Guanajuato","Preescolar",10747,4516,"2010-2011"
"Guanajuato","Primaria",26371,4702,"2010-2011"
"Guanajuato","Secundaria",16218,1649,"2010-2011"
"Guanajuato","Media superior",11291,783,"2010-2011"
"Guanajuato","Superior",10506,308,"2010-2011"
"Guerrero","Preescolar",9608,3991,"2010-2011"
"Guerrero","Primaria",24793,4742,"2010-2011"
"Guerrero","Secundaria",12420,1720,"2010-2011"
"Guerrero","Media superior",6256,341,"2010-2011"
"Guerrero","Superior",4361,156,"2010-2011"
"Hidalgo","Preescolar",5633,3324,"2010-2011"
"Hidalgo","Primaria",15628,3261,"2010-2011"
"Hidalgo","Secundaria",9165,1194,"2010-2011"
"Hidalgo","Media superior",6134,293,"2010-2011"
"Hidalgo","Superior",6472,146,"2010-2011"
"Jalisco","Preescolar",14571,5329,"2010-2011"
"Jalisco","Primaria",34154,5941,"2010-2011"
"Jalisco","Secundaria",24217,1918,"2010-2011"
"Jalisco","Media superior",15877,823,"2010-2011"
"Jalisco","Superior",18805,331,"2010-2011"
"México","Preescolar",24392,8194,"2010-2011"
"México","Primaria",68395,7769,"2010-2011"
"México","Secundaria",43590,3611,"2010-2011"
"México","Media superior",37411,1416,"2010-2011"
"México","Superior",33058,521,"2010-2011"
"Michoacán","Preescolar",10119,4437,"2010-2011"
"Michoacán","Primaria",27720,5270,"2010-2011"
"Michoacán","Secundaria",13889,1577,"2010-2011"
"Michoacán","Media superior",9541,626,"2010-2011"
"Michoacán","Superior",7972,215,"2010-2011"
"Morelos","Preescolar",3036,1167,"2010-2011"
"Morelos","Primaria",7768,1116,"2010-2011"
"Morelos","Secundaria",6072,468,"2010-2011"
"Morelos","Media superior",5379,314,"2010-2011"
"Morelos","Superior",5762,138,"2010-2011"
"Nayarit","Preescolar",2180,1108,"2010-2011"
"Nayarit","Primaria",5526,1183,"2010-2011"
"Nayarit","Secundaria",5344,550,"2010-2011"
"Nayarit","Media superior",2795,272,"2010-2011"
"Nayarit","Superior",2888,61,"2010-2011"
"Nuevo León","Preescolar",9555,2909,"2010-2011"
"Nuevo León","Primaria",21961,2786,"2010-2011"
"Nuevo León","Secundaria",15631,962,"2010-2011"
"Nuevo León","Media superior",9970,485,"2010-2011"
"Nuevo León","Superior",13307,263,"2010-2011"
"Oaxaca","Preescolar",9987,4534,"2010-2011"
"Oaxaca","Primaria",26698,5584,"2010-2011"
"Oaxaca","Secundaria",13318,2209,"2010-2011"
"Oaxaca","Media superior",7323,633,"2010-2011"
"Oaxaca","Superior",5854,136,"2010-2011"
"Puebla","Preescolar",12227,4917,"2010-2011"
